[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
10,100,11,10,90,28,0,100,10
14,100,21,10,90,16,0,100,20
16,100,31,10,90,5,0,100,30
13,100,21,10,90,30,0,100,16
11,100,21,10,90,59,0,100,21
15,100,21,10,90,9,0,100,20
12,100,21,10,90,21,0,100,20
9,100,11,10,90,55,0,100,14
9,100,11,10,90,56,0,100,14
11,100,21,10,90,60,0,100,21
10,100,11,10,90,29,0,100,10
16,100,31,10,90,6,0,100,30
14,100,21,10,90,17,0,100,20
9,100,11,10,90,57,0,100,14
12,100,21,10,90,22,0,100,20
15,100,21,10,90,10,0,100,20
16,100,31,10,90,7,0,100,30
9,100,11,10,90,58,0,100,14
10,100,11,10,90,30,0,100,10
9,100,11,10,90,59,0,100,14
17,100,31,10,90,0,24,100,0
15,100,21,10,90,11,0,100,20
16,100,31,10,90,8,0,100,30
14,100,21,10,90,18,0,100,20
9,100,11,10,90,60,0,100,14
12,100,21,10,90,23,0,100,20
17,100,31,10,90,1,10,100,24
15,100,21,10,90,12,0,100,20
10,100,11,10,90,31,0,100,10
12,100,21,10,90,24,0,100,20
14,100,21,10,90,19,0,100,20
16,100,31,10,90,9,0,100,30
17,100,31,10,90,2,1,100,34
10,100,11,10,90,32,0,100,10
18,100,31,10,90,0,25,100,0
17,100,31,10,90,3,0,100,35
12,100,21,10,90,25,0,100,20
15,100,21,10,90,13,0,100,20
14,100,21,10,90,20,0,100,20
16,100,31,10,90,10,0,100,30
10,100,11,10,90,33,0,100,10
12,100,21,10,90,26,0,100,20
17,100,31,10,90,4,0,100,35
18,100,31,10,90,1,6,100,25
15,100,21,10,90,14,0,100,20
14,100,21,10,90,21,0,100,20
16,100,31,10,90,11,0,100,30
17,100,31,10,90,5,0,100,35
10,100,11,10,90,34,0,100,10
18,100,31,10,90,2,2,100,31
15,100,21,10,90,15,0,100,20
17,100,31,10,90,6,0,100,35
16,100,31,10,90,12,0,100,30
