[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles
2,100,1,90,10,67,0,100
4,100,1,90,10,83,0,100
5,100,1,90,10,78,0,100
8,100,11,90,10,73,0,100
4,100,1,90,10,84,0,100
9,100,11,90,10,2,1,100
5,100,1,90,10,79,0,100
3,100,1,90,10,73,0,100
8,100,11,90,10,74,0,100
6,100,11,90,10,52,0,100
4,100,1,90,10,85,0,100
5,100,1,90,10,80,0,100
7,100,11,90,10,58,0,100
9,100,11,90,10,3,1,100
2,100,1,90,10,68,0,100
3,100,1,90,10,74,0,100
3,100,1,90,10,75,0,100
9,100,11,90,10,4,1,100
6,100,11,90,10,53,0,100
7,100,11,90,10,59,0,100
8,100,11,90,10,75,0,100
4,100,1,90,10,86,0,100
5,100,1,90,10,81,0,100
3,100,1,90,10,76,0,100
9,100,11,90,10,5,1,100
2,100,1,90,10,69,0,100
6,100,11,90,10,54,0,100
8,100,11,90,10,76,0,100
3,100,1,90,10,77,0,100
7,100,11,90,10,60,0,100
4,100,1,90,10,87,0,100
8,100,11,90,10,77,0,100
9,100,11,90,10,6,1,100
3,100,1,90,10,78,0,100
5,100,1,90,10,82,0,100
2,100,1,90,10,70,0,100
6,100,11,90,10,55,0,100
7,100,11,90,10,61,0,100
9,100,11,90,10,7,0,100
5,100,1,90,10,83,0,100
4,100,1,90,10,88,0,100
3,100,1,90,10,79,0,100
9,100,11,90,10,8,0,100
7,100,11,90,10,62,0,100
8,100,11,90,10,78,0,100
5,100,1,90,10,84,0,100
6,100,11,90,10,56,0,100
2,100,1,90,10,71,0,100
9,100,11,90,10,9,0,100
4,100,1,90,10,89,0,100
3,100,1,90,10,80,0,100
8,100,11,90,10,79,0,100
7,100,11,90,10,63,0,100
6,100,11,90,10,57,0,100
2,100,1,90,10,72,0,100
9,100,11,90,10,10,0,100
8,100,11,90,10,80,0,100
4,100,1,90,10,90,0,100
5,100,1,90,10,85,0,100
3,100,1,90,10,81,0,100
9,100,11,90,10,11,0,100
7,100,11,90,10,64,0,100
2,100,1,90,10,73,0,100
6,100,11,90,10,58,0,100
8,100,11,90,10,81,0,100
4,100,1,90,10,91,0,100
7,100,11,90,10,65,0,100
9,100,11,90,10,12,0,100
7,100,11,90,10,66,0,100
9,100,11,90,10,13,0,100
3,100,1,90,10,82,0,100
2,100,1,90,10,74,0,100
5,100,1,90,10,86,0,100
8,100,11,90,10,82,0,100
4,100,1,90,10,92,0,100
9,100,11,90,10,14,0,100
8,100,11,90,10,83,0,100
5,100,1,90,10,87,0,100
6,100,11,90,10,59,0,100
7,100,11,90,10,67,0,100
3,100,1,90,10,83,0,100
2,100,1,90,10,75,0,100
6,100,11,90,10,60,0,100
9,100,11,90,10,15,0,100
7,100,11,90,10,68,0,100
4,100,1,90,10,93,0,100
9,100,11,90,10,16,0,100
2,100,1,90,10,76,0,100
3,100,1,90,10,84,0,100
7,100,11,90,10,69,0,100
8,100,11,90,10,84,0,100
5,100,1,90,10,88,0,100
9,100,11,90,10,17,0,100
