[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
4,1000,100,80,10,98,48,812,1000,3984
5,1000,100,80,10,102,25,817,1000,1403
2,1000,100,80,10,100,80,790,1000,5843
4,1000,100,80,10,99,47,812,1000,4032
1,1000,100,80,10,95,39,822,1000,3994
5,1000,100,80,10,103,24,817,1000,1428
3,1000,100,80,10,104,85,785,1000,5621
2,1000,100,80,10,101,78,790,1000,5923
4,1000,100,80,10,100,50,812,1000,4079
5,1000,100,80,10,104,26,817,1000,1452
1,1000,100,80,10,96,43,822,1000,4033
3,1000,100,80,10,105,81,785,1000,5706
2,1000,100,80,10,102,78,790,1000,6001
4,1000,100,80,10,101,50,812,1000,4129
5,1000,100,80,10,105,27,817,1000,1478
1,1000,100,80,10,97,44,822,1000,4076
3,1000,100,80,10,106,85,785,1000,5787
4,1000,100,80,10,102,54,812,1000,4179
2,1000,100,80,10,103,77,790,1000,6079
5,1000,100,80,10,106,27,817,1000,1505
3,1000,100,80,10,107,86,785,1000,5872
4,1000,100,80,10,103,54,812,1000,4233
1,1000,100,80,10,98,45,822,1000,4120
2,1000,100,80,10,104,67,790,1000,6156
5,1000,100,80,10,107,28,817,1000,1532
3,1000,100,80,10,108,86,785,1000,5958
4,1000,100,80,10,104,53,812,1000,4287
1,1000,100,80,10,99,43,822,1000,4165
2,1000,100,80,10,105,69,790,1000,6223
5,1000,100,80,10,108,29,817,1000,1560
3,1000,100,80,10,109,86,785,1000,6044
4,1000,100,80,10,105,56,812,1000,4340
1,1000,100,80,10,100,41,822,1000,4208
5,1000,100,80,10,109,30,817,1000,1589
2,1000,100,80,10,106,71,790,1000,6292
3,1000,100,80,10,110,80,785,1000,6130
4,1000,100,80,10,106,55,812,1000,4396
1,1000,100,80,10,101,44,822,1000,4249
5,1000,100,80,10,110,29,817,1000,1619
2,1000,100,80,10,107,71,790,1000,6363
3,1000,100,80,10,111,84,785,1000,6210
4,1000,100,80,10,107,53,812,1000,4451
1,1000,100,80,10,102,46,822,1000,4293
3,1000,100,80,10,112,91,785,1000,6294
5,1000,100,80,10,111,30,817,1000,1648
2,1000,100,80,10,108,72,790,1000,6434
4,1000,100,80,10,108,50,812,1000,4504
3,1000,100,80,10,113,89,785,1000,6385
1,1000,100,80,10,103,43,822,1000,4339
5,1000,100,80,10,112,33,817,1000,1678
2,1000,100,80,10,109,68,790,1000,6506
4,1000,100,80,10,109,52,812,1000,4554
3,1000,100,80,10,114,91,785,1000,6474
1,1000,100,80,10,104,44,822,1000,4382
2,1000,100,80,10,110,73,790,1000,6574
5,1000,100,80,10,113,35,817,1000,1711
4,1000,100,80,10,110,51,812,1000,4606
3,1000,100,80,10,115,92,785,1000,6565
1,1000,100,80,10,105,43,822,1000,4426
5,1000,100,80,10,114,34,817,1000,1746
4,1000,100,80,10,111,52,812,1000,4657
2,1000,100,80,10,111,70,790,1000,6647
3,1000,100,80,10,116,94,785,1000,6657
5,1000,100,80,10,115,35,817,1000,1780
1,1000,100,80,10,106,43,822,1000,4469
4,1000,100,80,10,112,46,812,1000,4709
2,1000,100,80,10,112,70,790,1000,6717
3,1000,100,80,10,117,93,785,1000,6751
5,1000,100,80,10,116,35,817,1000,1815
1,1000,100,80,10,107,42,822,1000,4512
4,1000,100,80,10,113,48,812,1000,4755
2,1000,100,80,10,113,76,790,1000,6787
3,1000,100,80,10,118,94,785,1000,6844
5,1000,100,80,10,117,35,817,1000,1850
1,1000,100,80,10,108,41,822,1000,4554
4,1000,100,80,10,114,49,812,1000,4803
3,1000,100,80,10,119,93,785,1000,6938
2,1000,100,80,10,114,77,790,1000,6863
5,1000,100,80,10,118,34,817,1000,1885
3,1000,100,80,10,120,95,785,1000,7031
1,1000,100,80,10,109,42,822,1000,4595
4,1000,100,80,10,115,51,812,1000,4852
2,1000,100,80,10,115,80,790,1000,6940
5,1000,100,80,10,119,32,817,1000,1919
3,1000,100,80,10,121,89,785,1000,7126
4,1000,100,80,10,116,55,812,1000,4903
1,1000,100,80,10,110,39,822,1000,4637
2,1000,100,80,10,116,79,790,1000,7020
5,1000,100,80,10,120,29,817,1000,1951
3,1000,100,80,10,122,87,785,1000,7215
4,1000,100,80,10,117,54,812,1000,4958
5,1000,100,80,10,121,27,817,1000,1980
2,1000,100,80,10,117,75,790,1000,7099
1,1000,100,80,10,111,44,822,1000,4676
3,1000,100,80,10,123,89,785,1000,7302
4,1000,100,80,10,118,57,812,1000,5012
5,1000,100,80,10,122,30,817,1000,2007
2,1000,100,80,10,118,72,790,1000,7174
1,1000,100,80,10,112,49,822,1000,4720
3,1000,100,80,10,124,86,785,1000,7391
4,1000,100,80,10,119,60,812,1000,5069
5,1000,100,80,10,123,33,817,1000,2037
2,1000,100,80,10,119,66,790,1000,7246
1,1000,100,80,10,113,52,822,1000,4769
3,1000,100,80,10,125,84,785,1000,7477
5,1000,100,80,10,124,32,817,1000,2070
