[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
2,1000,100,80,10,29,44,1000,756
8,1000,100,80,10,35,55,1000,1412
5,1000,100,80,10,35,22,1000,902
6,1000,100,80,10,40,29,1000,1520
4,1000,100,80,10,42,101,1000,2730
1,1000,100,80,10,33,52,1000,1199
2,1000,100,80,10,30,40,1000,800
8,1000,100,80,10,36,55,1000,1467
7,1000,100,80,10,33,31,1000,601
6,1000,100,80,10,41,28,1000,1549
3,1000,100,80,10,45,49,1000,1616
5,1000,100,80,10,36,22,1000,924
4,1000,100,80,10,43,104,1000,2831
6,1000,100,80,10,42,24,1000,1577
8,1000,100,80,10,37,55,1000,1522
1,1000,100,80,10,34,49,1000,1251
2,1000,100,80,10,31,41,1000,840
7,1000,100,80,10,34,34,1000,632
3,1000,100,80,10,46,51,1000,1665
6,1000,100,80,10,43,22,1000,1601
4,1000,100,80,10,44,103,1000,2935
3,1000,100,80,10,47,58,1000,1716
5,1000,100,80,10,37,19,1000,946
2,1000,100,80,10,32,39,1000,881
1,1000,100,80,10,35,54,1000,1300
8,1000,100,80,10,38,63,1000,1577
7,1000,100,80,10,35,33,1000,666
6,1000,100,80,10,44,22,1000,1623
3,1000,100,80,10,48,58,1000,1774
5,1000,100,80,10,38,17,1000,965
4,1000,100,80,10,45,96,1000,3038
8,1000,100,80,10,39,61,1000,1640
2,1000,100,80,10,33,39,1000,920
1,1000,100,80,10,36,52,1000,1354
3,1000,100,80,10,49,57,1000,1832
6,1000,100,80,10,45,23,1000,1645
7,1000,100,80,10,36,35,1000,699
5,1000,100,80,10,39,17,1000,982
4,1000,100,80,10,46,92,1000,3134
8,1000,100,80,10,40,62,1000,1701
3,1000,100,80,10,50,54,1000,1889
1,1000,100,80,10,37,56,1000,1406
7,1000,100,80,10,37,37,1000,734
6,1000,100,80,10,46,25,1000,1668
5,1000,100,80,10,40,17,1000,999
4,1000,100,80,10,47,94,1000,3226
8,1000,100,80,10,41,65,1000,1763
3,1000,100,80,10,51,54,1000,1943
1,1000,100,80,10,38,50,1000,1462
2,1000,100,80,10,34,38,1000,959
5,1000,100,80,10,41,16,1000,1016
4,1000,100,80,10,48,93,1000,3320
7,1000,100,80,10,38,40,1000,771
3,1000,100,80,10,52,57,1000,1997
1,1000,100,80,10,39,52,1000,1512
2,1000,100,80,10,35,39,1000,997
8,1000,100,80,10,42,67,1000,1828
7,1000,100,80,10,39,41,1000,811
4,1000,100,80,10,49,96,1000,3413
3,1000,100,80,10,53,56,1000,2054
5,1000,100,80,10,42,16,1000,1032
1,1000,100,80,10,40,53,1000,1564
6,1000,100,80,10,47,29,1000,1693
2,1000,100,80,10,36,44,1000,1036
7,1000,100,80,10,40,43,1000,852
3,1000,100,80,10,54,57,1000,2110
1,1000,100,80,10,41,52,1000,1617
4,1000,100,80,10,50,98,1000,3509
6,1000,100,80,10,48,30,1000,1722
8,1000,100,80,10,43,64,1000,1895
2,1000,100,80,10,37,45,1000,1080
7,1000,100,80,10,41,38,1000,895
3,1000,100,80,10,55,61,1000,2167
6,1000,100,80,10,49,31,1000,1752
4,1000,100,80,10,51,101,1000,3607
5,1000,100,80,10,43,17,1000,1048
2,1000,100,80,10,38,46,1000,1125
7,1000,100,80,10,42,38,1000,933
8,1000,100,80,10,44,70,1000,1959
6,1000,100,80,10,50,32,1000,1783
3,1000,100,80,10,56,63,1000,2228
1,1000,100,80,10,42,54,1000,1669
2,1000,100,80,10,39,51,1000,1171
7,1000,100,80,10,43,34,1000,971
4,1000,100,80,10,52,103,1000,3708
6,1000,100,80,10,51,31,1000,1815
3,1000,100,80,10,57,70,1000,2291
8,1000,100,80,10,45,71,1000,2029
2,1000,100,80,10,40,55,1000,1222
1,1000,100,80,10,43,53,1000,1723
6,1000,100,80,10,52,30,1000,1846
7,1000,100,80,10,44,36,1000,1005
4,1000,100,80,10,53,101,1000,3811
3,1000,100,80,10,58,78,1000,2361
8,1000,100,80,10,46,72,1000,2100
6,1000,100,80,10,53,33,1000,1876
2,1000,100,80,10,41,56,1000,1277
7,1000,100,80,10,45,40,1000,1041
1,1000,100,80,10,44,57,1000,1776
4,1000,100,80,10,54,105,1000,3912
5,1000,100,80,10,44,17,1000,1065
3,1000,100,80,10,59,75,1000,2439
8,1000,100,80,10,47,67,1000,2172
6,1000,100,80,10,54,32,1000,1909
2,1000,100,80,10,42,54,1000,1333
3,1000,100,80,10,60,73,1000,2514
4,1000,100,80,10,55,106,1000,4017
5,1000,100,80,10,45,19,1000,1082
8,1000,100,80,10,48,59,1000,2239
6,1000,100,80,10,55,34,1000,1941
2,1000,100,80,10,43,56,1000,1387
3,1000,100,80,10,61,74,1000,2587
1,1000,100,80,10,45,58,1000,1833
7,1000,100,80,10,46,43,1000,1081
5,1000,100,80,10,46,17,1000,1101
4,1000,100,80,10,56,105,1000,4123
2,1000,100,80,10,44,55,1000,1443
8,1000,100,80,10,49,62,1000,2298
3,1000,100,80,10,62,75,1000,2661
6,1000,100,80,10,56,33,1000,1975
1,1000,100,80,10,46,58,1000,1891
7,1000,100,80,10,47,47,1000,1124
5,1000,100,80,10,47,19,1000,1118
2,1000,100,80,10,45,54,1000,1498
3,1000,100,80,10,63,81,1000,2736
4,1000,100,80,10,57,106,1000,4228
8,1000,100,80,10,50,64,1000,2360
1,1000,100,80,10,47,56,1000,1949
7,1000,100,80,10,48,46,1000,1171
3,1000,100,80,10,64,85,1000,2817
5,1000,100,80,10,48,18,1000,1137
6,1000,100,80,10,57,31,1000,2008
2,1000,100,80,10,46,53,1000,1552
1,1000,100,80,10,48,59,1000,2005
4,1000,100,80,10,58,109,1000,4334
8,1000,100,80,10,51,67,1000,2424
3,1000,100,80,10,65,85,1000,2902
6,1000,100,80,10,58,29,1000,2039
2,1000,100,80,10,47,57,1000,1605
5,1000,100,80,10,49,20,1000,1155
7,1000,100,80,10,49,54,1000,1217
1,1000,100,80,10,49,67,1000,2064
3,1000,100,80,10,66,91,1000,2987
8,1000,100,80,10,52,73,1000,2491
5,1000,100,80,10,50,19,1000,1175
4,1000,100,80,10,59,102,1000,4443
2,1000,100,80,10,48,55,1000,1662
6,1000,100,80,10,59,28,1000,2068
3,1000,100,80,10,67,92,1000,3078
5,1000,100,80,10,51,17,1000,1194
6,1000,100,80,10,60,29,1000,2096
3,1000,100,80,10,68,95,1000,3170
4,1000,100,80,10,60,99,1000,4545
2,1000,100,80,10,49,53,1000,1717
7,1000,100,80,10,50,56,1000,1271
1,1000,100,80,10,50,59,1000,2131
8,1000,100,80,10,53,71,1000,2564
6,1000,100,80,10,61,28,1000,2125
3,1000,100,80,10,69,89,1000,3265
5,1000,100,80,10,52,18,1000,1211
2,1000,100,80,10,50,52,1000,1770
8,1000,100,80,10,54,67,1000,2635
3,1000,100,80,10,70,87,1000,3354
6,1000,100,80,10,62,28,1000,2153
4,1000,100,80,10,61,97,1000,4644
1,1000,100,80,10,51,63,1000,2190
3,1000,100,80,10,71,87,1000,3441
6,1000,100,80,10,63,30,1000,2181
2,1000,100,80,10,51,48,1000,1822
5,1000,100,80,10,53,18,1000,1229
7,1000,100,80,10,51,56,1000,1327
3,1000,100,80,10,72,91,1000,3528
8,1000,100,80,10,55,70,1000,2702
4,1000,100,80,10,62,98,1000,4741
